Bus,Erro (%)
1,0.5235602094240842
2,0.1433808659062134
3,0.23851201242580697
4,0.20040080160320656
5,0.19806827720831555
6,0.0
7,0.06793653139233624
8,0.4926108374383914
9,0.2798115128983549
10,4.22942104619107e-14
11,0.5165592249927383
12,0.0
13,0.17535203530880833
14,0.36509396940926764
15,0.0
16,0.39608574759564313
17,0.5112880250642026
18,0.30832476875642373
19,0.20790020790017352
20,0.3208276040002695
21,0.23824120024422898
22,0.10195596899769044
23,0.05330422045691104
24,0.2016129032258066
25,0.0
26,0.49261083743841316
27,0.20661157024793406
28,0.16307455564608353
29,0.3339266453659753
30,1.5560563954857738
31,0.31023784901758045
32,0.31152647975074466
33,0.09623568022395733
34,0.6097560975609762
35,0.046159046906904054
36,0.0
37,0.06682010446071189
38,0.13438490902892616
39,0.003984187064048912
40,0.0
41,0.32762076213450986
42,0.5076142131979701
43,0.2946330676950623
44,0.4505804806126248
45,0.36673285887811047
46,0.4975124378109347
47,0.290969915758018
48,0.06211037961058965
49,0.48780487804877015
50,0.10803228675961007
51,0.3232665479094394
52,0.3328170424682951
53,0.42477869567062426
54,0.5235602094240727
55,0.21008403361343392
56,0.4192872117400423
57,0.05988515174959728
58,0.10038981968863603
59,0.5076142131979701
60,0.3178067787318041
61,0.5025125628141152
62,0.20040080160320656
63,0.13010113810411242
64,0.38025274476776455
65,0.4975124378109347
66,0.0
67,0.031251984601410314
68,0.26041048471711054
69,0.4830917874396033
70,0.4065040650406508
71,0.3197907234235646
72,4.531522549490433e-14
73,0.10090817356205861
74,0.20876826722338224
75,0.2757425298254219
76,0.3181336161187702
77,0.39761431411528636
78,0.3412592360201274
79,0.07703050468828172
80,2.1350442781253012e-14
81,1.7042080461419675
82,0.14708622111393974
83,0.44467397030117806
84,0.03023254461525811
85,0.5076142131979701
86,0.6866082015266461
87,0.49261083743841316
88,0.2579433567042782
89,0.4975124378109347
90,0.5076142131979701
91,0.0
92,2.242874797222539e-14
93,0.4633919381951882
94,0.017067322086079743
95,0.03393859516972629
96,0.23015731471745482
97,0.11536308567888433
98,0.3427914204014115
99,0.0
100,0.2949852507374962
101,0.14322016846414884
102,0.08785193489228331
103,0.990099009900991
104,0.10298661174049667
105,0.5181347150259072
106,0.1192656636783118
107,0.2100840336134107
108,0.3920720677150861
109,0.3075898639716167
110,0.30832476875642373
111,2.265761274745218e-14
112,0.512820512820536
113,0.3021148036253779
114,0.009694351242112893
115,0.0023821345778923266
116,0.4975124378109347
117,0.39272446093864255
118,0.059148513527393386
